Layout,Name,Material,Color,Ave Rating,Price,Part,User1,User2,User3,User4
60%,CNC'd Plate,Aluminum,Black,4.0,21.90,Plate,3.7,3.3,4.8,4.3
60%,CNC'd Plate,Aluminum,Red,4.6,21.90,Plate,4.2,4.8,4.7,4.8
60%,CNC'd Plate,Aluminum,Silver,4.6,21.90,Plate,3.3,3.5,3.5,5.0
60%,CNC'd Plate,Aluminum,Cyan,4.6,21.90,Plate,3.3,4.5,4.7,4.8
60%,CNC'd Plate,Aluminum,Blue,4.6,21.90,Plate,4.0,4.2,4.0,4.2
60%,CNC'd Plate,Aluminum,Pink,4.6,21.90,Plate,3.8,4.7,5.0,4.8
60%,CNC'd Plate,Aluminum,Orange,4.6,21.90,Plate,5.0,4.3,3.8,5.0
60%,CNC'd Plate,Aluminum,Gray,4.6,21.90,Plate,4.2,4.5,4.2,4.3
60%,CNC'd Purple Plate,Aluminum,Purple,4.6,21.90,Plate,3.8,4.8,4.0,4.8
60%,DZ60 CNC Plate,Aluminum,Aluminum,4.5,19.00,Plate,3.3,3.7,3.3,5.0
60%,DZ60 CNC Plate,Brass,Brass,4.6,39.00,Plate,4.2,3.8,4.3,4.7
60%,Polycarbonate Material Plate,Polycarbonate,Polycarbonate,4.6,19.00,Plate,4.8,4.0,4.3,4.7
60%,Carbon Fiber Plate,Carbon Fiber,Carbon Fiber,4.8,19.00,Plate,4.5,3.8,5.0,4.5
60%,D60 FR4 Black Plate,Aluminum,Black,4.5,25.00,Plate,3.8,4.0,4.2,4.3
60%,D60 FR4 Red Plate,Aluminum,Red,4.5,25.00,Plate,4.8,4.2,5.0,3.5
65%,CNC  Plate,Aluminum,Aluminum,4.8,18.00,Plate,4.3,5.0,4.5,4.7
65%,Brass plate,Brass,Brass,4.6,39.00,Plate,5.0,5.0,4.8,4.0
65%,Polycarbonate Plate,Polycarbonate,Polycarbonate,4.8,19.00,Plate,4.0,3.8,3.3,5.0
65%,KBD67 MKII Plate,Brass,Brass,4.8,39.00,Plate,3.5,3.8,4.0,3.5
65%,D65 Plate,Brass,Brass,4.8,39.00,Plate,4.0,3.8,5.0,4.2
65%,D65 Plate,Polycarbonate,Polycarbonate,4.4,25.00,Plate,4.7,4.7,3.7,5.0
65%,D65 Plate,Aluminum,Aluminum,4.5,25.00,Plate,4.2,4.0,3.7,4.7
65%,Boop Plate,Aluminum,E-White,4.7,25.00,Plate,3.5,3.7,5.0,3.3
65%,Boop Plate,Brass,Brass,4.7,39.00,Plate,3.3,3.3,5.0,4.5
65%,Boop Plate,Polycarbonate,Polycarbonate,4.6,25.00,Plate,4.8,4.2,4.5,3.8
65%,KBD67 Lite Plate,Polycarbonate,Polycarbonate,4.8,19.00,Plate,4.2,3.8,4.8,5.0
75%,KBD75 Plate,Brass,Brass,4.8,42.00,Plate,3.5,3.3,4.0,3.7
75%,KBD75 Plate,Aluminum,Black,4.9,20.00,Plate,4.7,4.8,4.5,4.7
75%,KBD75 Plate,Aluminum,Silver,4.9,20.00,Plate,5.0,4.7,3.3,4.3
75%,KBD75 Plate,Polycarbonate,Polycarbonate,4.6,22.00,Plate,5.0,4.8,3.3,3.8
75%,KBD75 Plate B,Aluminum,Silver,4.9,20.00,Plate,4.7,4.2,3.5,4.3
75%,KBD75 Plate B,Aluminum,Black,4.9,20.00,Plate,3.7,4.5,5.0,4.2
75%,Bella Plate,Brass,Brass,4.7,42.00,Plate,3.7,3.5,3.3,4.2
